relation	pattern
president	served under [[det]] administrations of;
president	served through administrations of;
president	to like;
president	which like;
president	more like;
president	like [[con]];
president	like to;
president	[[adj]] like [[adj]];
president	is like;
president	[[num]] like [[con]];
president	like [[det]];
president	up like;
president	much like [[con]];
president	like [[num]];
president	not like;
president	[[num]] like;
president	[[adj]] like [[con]];
president	be like;
president	[[mod]] like;
president	like had;
president	like [[prp]];
president	[[det]] like [[con]];
president	[[det]] like;
president	[[mod]] like to;
president	like is;
president	much like;
president	like was;
president	was like;
president	[[con]] like;
president	[[adj]] like;
president	s like;
president	like [[adj]];
president	just like;
president	[[pro]] like;
president	that like;
president	more like [[con]];
president	was like [[det]];
president	just like [[prp]];
president	much like [[det]];
president	[[con]] like [[adj]];
president	had removed;
president	was removed [[con]];
president	removed [[pro]];
president	was removed by;
president	removed from;
president	was removed after;
president	removed by;
president	removed [[prp]];
president	when removed;
president	once removed;
president	[[con]] removed;
president	removed [[con]];
president	was removed as;
president	was removed;
president	removed as;
president	[[con]] admits to;
president	[[con]] admits that;
president	admits to;
president	admits that;
president	served under [[det]] presidency of;
president	[[det]] presidency of;
president	also traveled as;
president	traveled as;
president	traveled with;
president	had traveled with;
president	has traveled with;
president	[[num]] traveled;
president	traveled for;
president	[[con]] traveled;
president	also traveled with;
president	that traveled;
president	then traveled where;
president	later traveled with;
president	when traveled;
president	traveled where;
president	then traveled with;
president	then traveled;
president	[[prp]] successor;
president	successor as;
president	[[adj]] successor to;
president	[[adj]] successor as;
president	successor [[con]];
president	s successor;
president	[[adj]] successor of;
president	[[con]] successor of;
president	s successor as;
president	[[det]] successor to;
president	successor to;
president	by successor;
president	as successor;
president	[[prp]] successor in;
president	[[adj]] successor;
president	[[prp]] successor as;
president	[[prp]] successor [[con]];
president	as successor of;
president	[[det]] successor [[con]];
president	[[det]] successor of;
president	s successor in;
president	successor of;
president	s successor [[con]];
president	[[con]] successor;
president	served during [[det]] presidency of;
president	[[det]] presidency;
president	presidency [[con]];
president	also wrote at;
president	[[con]] wrote to;
president	wrote by;
president	[[pro]] wrote;
president	wrote [[prp]];
president	wrote from;
president	also wrote with;
president	which wrote;
president	also wrote [[con]];
president	once wrote that;
president	whom wrote;
president	[[adj]] wrote to;
president	[[adj]] wrote;
president	wrote what;
president	later wrote that;
president	also wrote by;
president	wrote of;
president	later wrote of;
president	wrote on;
president	later wrote while;
president	where wrote;
president	that wrote;
president	also wrote of;
president	wrote about;
president	later wrote [[num]];
president	once wrote;
president	as wrote to;
president	wrote that;
president	[[con]] wrote [[det]];
president	also wrote [[det]];
president	which wrote that;
president	wrote is;
president	later wrote to;
president	wrote was;
president	also wrote under;
president	wrote with;
president	wrote under;
president	also wrote [[adj]];
president	as wrote;
president	wrote as;
president	when wrote;
president	wrote [[con]];
president	of wrote;
president	wrote more;
president	wrote [[adj]];
president	also wrote that;
president	later wrote [[adj]];
president	when wrote to;
president	[[con]] wrote for;
president	who wrote;
president	then wrote to;
president	also wrote on;
president	[[det]] wrote;
president	wrote when;
president	with wrote;
president	wrote [[num]];
president	[[num]] wrote;
president	later wrote;
president	which wrote with;
president	also wrote;
president	also wrote about;
president	also wrote to;
president	also wrote [[num]];
president	wrote while;
president	wrote to;
president	wrote s;
president	while wrote;
president	wrote [[pro]];
president	wrote [[det]];
president	[[pro]] wrote to;
president	[[con]] wrote;
president	also wrote as;
president	[[num]] wrote on;
president	served briefly as;
president	briefly served as;
president	briefly served;
president	also served briefly as;
president	served briefly;
president	then served briefly as;
president	[[adj]] supporter of;
president	[[con]] supporter;
president	[[adj]] supporter;
president	[[con]] supporter of;
president	[[det]] supporter of;
president	[[det]] supporter [[con]];
president	[[det]] supporter;
president	[[adj]] supporter [[con]];
president	[[det]] supporter [[det]];
president	sworn in;
president	was sworn [[con]];
president	was sworn;
president	was sworn in;
president	is sworn in;
president	member;
president	let stay;
president	to stay away;
president	to stay with;
president	[[mod]] stay;
president	to stay on;
president	to stay;
president	[[mod]] stay on;
president	[[con]] stay;
president	stay to;
president	to stay behind;
president	to stay [[adj]];
president	joined then;
president	been joined by;
president	soon joined [[con]];
president	[[con]] joined by;
president	joined to;
president	joined becoming;
president	was joined at;
president	joined by;
president	joined [[adj]];
president	then joined with;
president	joined along;
president	now joined;
president	when joined;
president	joined under;
president	[[det]] joined with;
president	while joined;
president	[[con]] joined [[con]];
president	also joined [[con]];
president	then joined as;
president	also joined by;
president	then joined under;
president	be joined by;
president	[[adj]] joined;
president	was joined as;
president	was joined [[con]];
president	where joined;
president	had joined up;
president	joined after;
president	later joined along;
president	as joined along;
president	had joined [[con]];
president	later joined with;
president	joined [[pro]];
president	joined when;
president	later joined [[con]];
president	joined up;
president	officially became [[adj]] generation member along;
president	joined as;
president	then joined along;
president	joined together;
president	were joined by;
president	where joined with;
president	again joined;
president	has joined with;
president	then joined [[con]];
president	after joined;
president	joined with;
president	was joined while;
president	soon joined by;
president	as joined;
president	[[con]] joined [[adj]];
president	is joined with;
president	who joined;
president	later joined while;
president	[[con]] joined;
president	joined where;
president	then joined by;
president	which joined;
president	joined s;
president	joined while;
president	since joined with;
president	had joined with;
president	joined [[prp]];
president	joined [[con]];
president	joined against;
president	also joined;
president	soon joined;
president	also joined with;
president	was joined by;
president	soon joined with;
president	have joined;
president	also joined along;
president	later joined by;
president	also joined as;
president	was joined;
president	was joined in;
president	until joined;
president	supported [[pro]];
president	who supported;
president	also supported;
president	supported [[det]];
president	had supported;
president	also supported [[adj]];
president	[[con]] supported;
president	is supported;
president	supported by;
president	also supported against;
president	supported [[con]];
president	also supported by;
president	has supported [[con]];
president	later supported;
president	was supported by;
president	was supported [[con]];
president	supported for;
president	also supported [[con]];
president	have supported;
president	supported against;
president	was supported;
president	supported to;
president	supported [[adj]];
president	has supported;
president	supported as;
president	then did [[det]];
president	however did;
president	[[con]] did not;
president	did [[pro]];
president	[[pro]] did [[con]];
president	did much;
president	[[con]] did [[det]];
president	if did;
president	[[con]] did;
president	although did not;
president	although did;
president	later did [[det]];
president	did on;
